Name,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Raiquan Gray,florida-state,36,4,12.3,1.4,3.2,.435,1.1,2.3,.482,0.3,0.9,.313,0.9,1.2,.721,0.6,1.7,2.3,0.8,0.8,0.2,0.9,1.7,3.9
Anthony Polite,florida-state,30,0,10.6,0.9,2.3,.382,0.5,0.7,.682,0.4,1.5,.239,0.6,0.7,.773,0.5,1.1,1.6,0.6,0.6,0.0,0.6,1.3,2.7
Wyatt Wilkes,florida-state,15,0,3.8,0.5,1.4,.381,0.3,0.4,.667,0.3,1.0,.267,0.1,0.2,.667,0.3,0.5,0.7,0.1,0.2,0.1,0.3,0.6,1.5
Harrison Prieto,florida-state,9,0,1.8,0.4,0.7,.667,0.4,0.7,.667,0.0,0.0,,0.0,0.0,,0.3,0.6,0.9,0.0,0.0,0.0,0.2,0.6,0.9
Justin Lindner,florida-state,7,0,1.4,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.3,0.6,.500,0.1,0.1,0.3,0.6,0.1,0.0,0.3,0.1,0.3
Will Miles,florida-state,6,0,1.2,0.0,0.5,.000,0.0,0.3,.000,0.0,0.2,.000,0.2,0.3,.500,0.0,0.2,0.2,0.0,0.2,0.0,0.3,0.5,0.2
Travis Light,florida-state,6,0,1.7,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Nickeil Alexander-Walker,virginia-tech,34,34,34.3,5.6,11.8,.474,3.9,7.2,.537,1.7,4.6,.374,3.3,4.2,.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2
Kerry Blackshear Jr.,virginia-tech,35,35,30.0,5.3,10.3,.508,4.7,8.5,.545,0.6,1.8,.333,3.8,5.2,.736,3.1,4.5,7.5,2.4,0.7,0.8,1.8,3.3,14.9
Justin Robinson,virginia-tech,24,20,29.5,4.0,8.5,.473,2.3,4.4,.524,1.7,4.1,.418,3.8,4.6,.811,0.6,2.6,3.2,5.0,1.6,0.1,2.8,1.5,13.5
Ahmed Hill,virginia-tech,35,35,35.3,4.7,10.6,.443,2.5,5.1,.500,2.1,5.5,.391,1.6,2.0,.812,0.7,3.2,3.9,1.3,0.8,0.1,1.3,2.0,13.1
Ty Outlaw,virginia-tech,35,20,29.5,2.8,6.2,.450,0.5,1.3,.432,2.3,5.0,.454,0.7,1.0,.694,1.0,4.3,5.2,0.9,0.5,0.4,0.6,2.3,8.6
Isaiah Wilkins,virginia-tech,34,1,14.3,1.7,3.4,.487,1.0,1.9,.556,0.6,1.6,.407,0.7,0.9,.742,0.9,1.4,2.3,0.6,0.5,0.1,0.6,1.1,4.7
Wabissa Bede,virginia-tech,35,26,25.3,1.5,3.6,.402,0.8,1.8,.452,0.7,1.9,.354,0.2,0.4,.538,0.2,2.2,2.5,2.3,1.1,0.1,1.1,1.7,3.8
P.J. Horne,virginia-tech,29,4,13.1,1.4,2.6,.568,1.4,2.3,.621,0.0,0.3,.125,0.4,0.6,.750,1.1,1.1,2.2,0.3,0.2,0.3,0.9,1.7,3.3
Jonathan Kabongo,virginia-tech,21,0,4.9,0.5,1.3,.393,0.2,0.3,.667,0.3,1.0,.318,0.1,0.2,.500,0.0,0.6,0.6,0.2,0.1,0.0,0.2,0.5,1.5
Brendan Palmer,virginia-tech,4,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Nwora,louisville,34,29,31.9,5.8,13.1,.446,3.6,7.0,.508,2.3,6.1,.374,3.1,4.0,.765,1.2,6.5,7.6,1.3,0.9,0.4,2.4,2.1,17.0
Christen Cunningham,louisville,33,33,31.4,3.3,7.1,.466,2.4,4.5,.541,0.9,2.6,.337,2.6,3.4,.784,0.2,2.0,2.2,4.8,0.5,0.1,2.0,1.4,10.1
Dwayne Sutton,louisville,34,34,31.4,3.3,7.7,.431,1.9,3.6,.524,1.4,4.1,.348,1.9,2.6,.750,2.2,4.6,6.9,1.9,0.9,0.3,1.5,2.4,10.0
Steven Enoch,louisville,34,14,19.1,3.6,6.8,.528,3.2,5.6,.563,0.4,1.1,.359,1.9,2.3,.818,1.5,3.7,5.2,0.2,0.2,0.6,1.0,2.5,9.4
Malik Williams,louisville,34,20,18.2,2.5,6.0,.420,1.7,3.4,.496,0.8,2.6,.318,1.8,2.6,.701,1.9,4.3,6.1,0.3,0.3,1.2,0.9,2.5,7.7
Ryan McMahon,louisville,34,1,19.2,2.0,5.3,.376,0.4,0.9,.484,1.6,4.4,.353,1.7,1.8,.950,0.1,1.0,1.1,1.8,0.4,0.1,1.2,1.4,7.2
Darius Perry,louisville,33,11,16.3,1.8,4.0,.447,1.0,1.8,.533,0.8,2.2,.375,1.0,1.3,.810,0.2,1.2,1.4,1.5,0.4,0.0,1.2,2.0,5.4
V.J. King,louisville,32,5,13.7,1.4,3.8,.367,1.3,2.7,.471,0.1,1.1,.114,1.1,1.3,.791,0.8,2.2,3.0,0.6,0.2,0.1,0.8,1.4,3.9
Khwan Fore,louisville,34,23,19.3,1.3,3.6,.355,0.9,2.4,.373,0.4,1.1,.316,0.4,0.6,.591,0.2,1.1,1.3,1.2,0.6,0.0,0.8,1.4,3.3
Akoy Agau,louisville,19,0,5.8,0.4,1.4,.308,0.4,1.4,.308,0.0,0.0,,0.8,1.1,.714,0.9,1.1,2.0,0.2,0.1,0.2,0.5,0.9,1.6
Jacob Redding,louisville,7,0,1.7,0.3,0.6,.500,0.0,0.0,,0.3,0.6,.500,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.9
Jo Griffin,louisville,9,0,2.6,0.2,0.4,.500,0.2,0.3,.667,0.0,0.1,.000,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4
